"","huc12","crop","crop_name","acres"
"117",170601070607,142,"Evergreen Forest",32.24713
"118",170601070607,152,"Shrubland",330.477484
"119",170601070607,176,"Grassland/Pasture",8237.47376
"120",170601070607,195,"Herbaceous Wetlands",0.222394
"121",170601070608,1,"Corn",38.251768
"122",170601070608,5,"Soybeans",1.779152
"123",170601070608,21,"Barley",1.11197
"124",170601070608,23,"Spring Wheat",400.086806
"125",170601070608,24,"Winter Wheat",1339.92385
"126",170601070608,28,"Oats",0.222394
"127",170601070608,31,"Canola",0.222394
"128",170601070608,36,"Alfalfa",586.897766
"129",170601070608,37,"Other Hay/Non Alfalfa",17.346732
"130",170601070608,43,"Potatoes",0.889576
"131",170601070608,51,"Chick Peas",73.167626
"132",170601070608,53,"Peas",382.962468
"133",170601070608,59,"Sod/Grass Seed",0.444788
"134",170601070608,61,"Fallow/Idle Cropland",1610.577348
"135",170601070608,66,"Cherries",11.1197
"136",170601070608,67,"Peaches",54.48653
"137",170601070608,68,"Apples",45.145982
"138",170601070608,69,"Grapes",22.2394
"139",170601070608,70,"Christmas Trees",6.227032
"140",170601070608,77,"Pears",8.89576
"141",170601070608,111,"Open Water",0.444788
"142",170601070608,121,"Developed/Open Space",187.033354
"143",170601070608,122,"Developed/Low Intensity",62.047926
"144",170601070608,123,"Developed/Med Intensity",8.006184
"145",170601070608,124,"Developed/High Intensity",2.001546
"146",170601070608,131,"Barren",0.222394
"147",170601070608,142,"Evergreen Forest",468.361764
"148",170601070608,143,"Mixed Forest",138.106674
"149",170601070608,152,"Shrubland",786.829972
"150",170601070608,176,"Grassland/Pasture",14734.936864
"151",170601070608,190,"Woody Wetlands",101.634058
"152",170601070608,195,"Herbaceous Wetlands",4.225486
"153",170601070608,205,"Triticale",85.399296
"154",170601070608,242,"Blueberries",4.44788
"155",170601070701,1,"Corn",0.889576
"156",170601070701,5,"Soybeans",1.11197
"157",170601070701,21,"Barley",4.003092
"158",170601070701,23,"Spring Wheat",783.93885
"159",170601070701,24,"Winter Wheat",3659.048482
"160",170601070701,31,"Canola",14.010822
"161",170601070701,36,"Alfalfa",88.068024
"162",170601070701,37,"Other Hay/Non Alfalfa",0.222394
"163",170601070701,43,"Potatoes",0.444788
"164",170601070701,51,"Chick Peas",28.688826
"165",170601070701,52,"Lentils",0.222394
"166",170601070701,53,"Peas",1252.967796
"167",170601070701,59,"Sod/Grass Seed",0.222394
"168",170601070701,61,"Fallow/Idle Cropland",1835.417682
"169",170601070701,66,"Cherries",0.667182
"170",170601070701,67,"Peaches",17.124338
"171",170601070701,68,"Apples",9.562942
"172",170601070701,69,"Grapes",18.90349
"173",170601070701,70,"Christmas Trees",8.450972
"174",170601070701,77,"Pears",4.225486
"175",170601070701,121,"Developed/Open Space",110.752212
"176",170601070701,122,"Developed/Low Intensity",60.491168
"177",170601070701,123,"Developed/Med Intensity",4.670274
