"","huc12","crop","crop_name","acres"
"1",170601070506,1,"Corn",0.889576
"2",170601070506,21,"Barley",8.673366
"3",170601070506,23,"Spring Wheat",127.431762
"4",170601070506,24,"Winter Wheat",1900.134336
"5",170601070506,35,"Mustard",0.667182
"6",170601070506,36,"Alfalfa",67.607776
"7",170601070506,37,"Other Hay/Non Alfalfa",15.345186
"8",170601070506,42,"Dry Beans",2.22394
"9",170601070506,53,"Peas",3.113516
"10",170601070506,59,"Sod/Grass Seed",0.222394
"11",170601070506,61,"Fallow/Idle Cropland",732.565836
"12",170601070506,68,"Apples",0.222394
"13",170601070506,69,"Grapes",0.222394
"14",170601070506,111,"Open Water",0.222394
"15",170601070506,121,"Developed/Open Space",344.265912
"16",170601070506,122,"Developed/Low Intensity",20.460248
"17",170601070506,123,"Developed/Med Intensity",0.889576
"18",170601070506,142,"Evergreen Forest",1.556758
"19",170601070506,152,"Shrubland",4033.559978
"20",170601070506,176,"Grassland/Pasture",7229.361758
"21",170601070506,190,"Woody Wetlands",2.446334
"22",170601070506,195,"Herbaceous Wetlands",1.334364
"23",170601070601,121,"Developed/Open Space",46.035558
"24",170601070601,122,"Developed/Low Intensity",1.779152
"25",170601070601,142,"Evergreen Forest",7805.362218
"26",170601070601,152,"Shrubland",714.774316
"27",170601070601,176,"Grassland/Pasture",533.523206
"28",170601070602,21,"Barley",0.444788
"29",170601070602,24,"Winter Wheat",0.222394
"30",170601070602,61,"Fallow/Idle Cropland",0.222394
"31",170601070602,121,"Developed/Open Space",134.325976
"32",170601070602,122,"Developed/Low Intensity",13.788428
"33",170601070602,123,"Developed/Med Intensity",1.334364
"34",170601070602,142,"Evergreen Forest",14458.94591
"35",170601070602,152,"Shrubland",828.640044
"36",170601070602,176,"Grassland/Pasture",826.416104
"37",170601070603,24,"Winter Wheat",0.667182
"38",170601070603,28,"Oats",0.667182
"39",170601070603,36,"Alfalfa",0.222394
"40",170601070603,37,"Other Hay/Non Alfalfa",2.22394
"41",170601070603,61,"Fallow/Idle Cropland",3.113516
"42",170601070603,111,"Open Water",1.556758
"43",170601070603,121,"Developed/Open Space",316.244268
"44",170601070603,122,"Developed/Low Intensity",21.794612
"45",170601070603,142,"Evergreen Forest",13841.357772
"46",170601070603,152,"Shrubland",4064.25035
"47",170601070603,176,"Grassland/Pasture",3835.629318
"48",170601070603,195,"Herbaceous Wetlands",1.779152
"49",170601070604,23,"Spring Wheat",0.444788
"50",170601070604,24,"Winter Wheat",10.897306
"51",170601070604,37,"Other Hay/Non Alfalfa",0.222394
"52",170601070604,61,"Fallow/Idle Cropland",3.113516
"53",170601070604,121,"Developed/Open Space",115.64488
"54",170601070604,122,"Developed/Low Intensity",5.115062
"55",170601070604,142,"Evergreen Forest",3919.471856
"56",170601070604,152,"Shrubland",2023.7854
"57",170601070604,176,"Grassland/Pasture",1434.4413
"58",170601070605,24,"Winter Wheat",0.222394
"59",170601070605,28,"Oats",0.222394
"60",170601070605,121,"Developed/Open Space",7.116608
"61",170601070605,122,"Developed/Low Intensity",1.556758
"62",170601070605,142,"Evergreen Forest",239.518338
"63",170601070605,152,"Shrubland",174.356896
"64",170601070605,176,"Grassland/Pasture",287.110654
"65",170601070606,21,"Barley",466.805006
"66",170601070606,23,"Spring Wheat",116.979244
"67",170601070606,24,"Winter Wheat",1969.743658
"68",170601070606,28,"Oats",1.11197
"69",170601070606,36,"Alfalfa",50.483438
"70",170601070606,37,"Other Hay/Non Alfalfa",122.761488
"71",170601070606,42,"Dry Beans",4.44788
"72",170601070606,52,"Lentils",3.558304
"73",170601070606,53,"Peas",205.269662
"74",170601070606,59,"Sod/Grass Seed",0.444788
"75",170601070606,61,"Fallow/Idle Cropland",30.912766
"76",170601070606,68,"Apples",2.001546
"77",170601070606,77,"Pears",0.444788
"78",170601070606,111,"Open Water",0.222394
"79",170601070606,121,"Developed/Open Space",279.771652
"80",170601070606,122,"Developed/Low Intensity",17.124338
"81",170601070606,123,"Developed/Med Intensity",0.667182
