huc12,count
170601070608,74
170701020308,17
170601070606,16
170601070704,15
170701020304,14
170701020401,13
170701020302,11
170601070603,9
170601070703,8
170701020303,8
170601070506,5
170601070607,4
170601070701,4
170601070702,4
170701020305,2
170701020306,2
170701020403,2
170701020503,2
170601070505,1
170701020502,1
