"Location_ID","Location_Name","Location_Setting","Location_Setting_Description","Location_Description","Ecology_Facility_Site_ID","Is_Location_a_Well","Address","City","State","Zip_Code","County","Watershed_WRIA","Ecology_Region","US_Congressional_District","State_Legislative_District","NHD_Reach_Code","NHD_Reach_Measure","NHD_Edit_Date","Calculated_Latitude_Decimal_Degrees_NAD83HARN","Calculated_Longitude_Decimal_Degrees_NAD83HARN","Horizontal_Coordinates_Represent","Horizontal_Coordinate_Accuracy","Horizontal_Coordinate_Collection_Method","Paper_Map_Scale","Township_Number","Township_Direction","Range_Number","Range_Direction","Section_Number","Quarter_Section_Township_Range","Quarter_Quarter_Section_Township_Range","Elevation_of","Elevation","Elevation_Units","Elevation_Datum","Elevation_Accuracy","Elevation_Collecton_Method","Sediment_Elevation_Elevation_Reference","Location_Suspect_or_Rejected_Flag","Location_Suspect_Code","Location_Suspect_Description","Location_ID_Alias","Associated_Study_ID","Record_Created_On","Location_System_ID"
"32SFT-00.0","S Fork Touchet R at N Fork confluence","Stream/River","Channeled, flowing water","South Fork Touchet River 40ft. above confluence with North Fork",,"N","","","WA","","COLUMBIA","Walla Walla","Eastern Regional Office",5,16,"17070102000311",0.574649167778218,3/6/2014 2:47:07 PM,46.3014199934729,-117.959845092481,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","",10,"N",39,"E",32,"#","#","",,"","","","","","","","","","ASTO0003, JJOY0003, SCTA0001",,3411001
"32SFT-00.3","32SFT-00.3","STREAM/RIVER","Channeled, flowing water","SF Touchet R @ Magill Rd",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"17070102000311",27.38283,3/6/2014 2:47:07 PM,46.29648,-117.95812,"Discrete monitoring point","+/- 40 ft (12 m)","Computer map - GIS-based","",10,"N",39,"E",32,"SE","SW","",,"","","","","","","","","","JROS0025",7/29/2014 2:59:00 PM,100010165
"32SFT-08.8","SF TOUCHET R IN RAINWATER WILDLIFE AREA","Stream/River","Channeled, flowing water","S Fork Touchet River in Rainwater Wildlife Area",,"N","","Dayton","WA","","COLUMBIA","Walla Walla","Eastern Regional Office",5,16,"17070102000316",3.727,3/3/2016 5:09:35 PM,46.1924,-117.9557,"Centroid of monitoring area","+/- 10 ft (3 m)","Computer map - GIS-based","",8,"N",39,"E",8,"NE","NW","",,"","","","","","","","","","JROS0025, SCTA0001",,30860667
"32TOU-46.2","Touchet R at Lower Hogeye Rd","Stream/River","Channeled, flowing water","Touchet River 20ft. downstream of Lower Hogeye Rd bridge",,"N","","","WA","","COLUMBIA","Walla Walla","Eastern Regional Office",5,16,"17070102000299",32.97517,1/5/2015 10:44:26 AM,46.2745961550803,-118.114271052224,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","",9,"N",38,"E",7,"NW","SW","",,"","","","","","","","","","JJOY0003",,6411001
"32TOU-48.4","Touchet R at Lewis and Clark State Park","Stream/River","Channeled, flowing water","Touchet River adjacent to small parking area close to the river in Lewis and Clark State Park.  May need to use unmaintained trails for access.",,"N","","","WA","","COLUMBIA","Walla Walla","Eastern Regional Office",5,16,"17070102000303",58.30793,1/5/2015 10:48:23 AM,46.2902561029813,-118.07138917689,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","",9,"N",38,"E",4,"NW","SW","",,"","","","","","","","","","JJOY0003",,7411001
"32TOU-51.2","Touchet R at Ward Rd","Stream/River","Channeled, flowing water","Touchet River under Ward Rd bridge",,"N","","","WA","","COLUMBIA","Walla Walla","Eastern Regional Office",5,16,"17070102000307",8.65451,4/7/2014 4:16:47 PM,46.3014659089794,-118.01347368913,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","",10,"N",38,"E",35,"SE","NE","",,"","","","","","","","","","JJOY0003, JROS0025, SCTA0001",,8411001
"32TOU-52.1","TOUCHET R BELOW DAYTON WWTP OUTFALL","Stream/River","Channeled, flowing water","Touchet R below Dayton WWTP outfall",,"N","","Dayton","WA","","COLUMBIA","Walla Walla","Eastern Regional Office",5,16,"17070102000307",74.4282,4/7/2014 4:16:47 PM,46.3152,-118.0048,"Centroid of monitoring area","+/- 10 ft (3 m)","Computer map - GIS-based","",10,"N",38,"E",25,"SW","NE","",,"","","","","","","","","","SCTA0001",,81644113
"32TOU-52.2","TOUCHET R ABOVE DAYTON WWTP OUTFALL","Stream/River","Channeled, flowing water","Touchet R above Dayton WWTP outfall",,"N","","Dayton","WA","","COLUMBIA","Walla Walla","Eastern Regional Office",5,16,"17070102000307",79.05007,4/7/2014 4:16:47 PM,46.316,-118.0036,"Centroid of monitoring area","+/- 10 ft (3 m)","Computer map - GIS-based","",10,"N",38,"E",25,"SW","NE","",,"","","","","","","","","","JROS0025, SCTA0001",,93273426
"32TOU-53.9","Touchet R @ Dayton City Park","Stream/River","Channeled, flowing water","Touchet @ Dayton City Park (Below Foot Bridge 75ft)",,"N","","","WA","","Columbia","Walla Walla","Eastern Regional Office",5,16,"17070102000309",78.28381,2/22/2012 7:35:08 AM,46.31485,-117.9775,"Discrete monitoring point","+/- 100 ft (30 m)","Computer map - GIS-based","",10,"N",39,"E",30,"SE","NW","",,"","","","","","","","","","ASTO0003, JJOY0003",,2473861
"32WFT-00.2","WOLF FORK TOUCHET R NEAR CONFLUENCE","Stream/River","Channeled, flowing water","Wolf Fork Touchet River near confluence",,"N","","Dayton","WA","","COLUMBIA","Walla Walla","Eastern Regional Office",5,16,"17070102000327",11.1702303356578,2/22/2012 12:00:00 AM,46.2714,-117.8953,"Centroid of monitoring area","+/- 10 ft (3 m)","Computer map - GIS-based","",9,"N",39,"E",11,"SE","NW","",,"","","","","","","","","","SCTA0001",,19047601
