To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

35B150--Tucannon R. nr Marengo

DATE         Water Temp. (°C)   QUALITY
----------   ----------------   -------
10/01/2020               13.6       140
10/02/2020               13.7       140
10/03/2020               13.5       140
10/04/2020               13.4       140
10/05/2020               13.3       140
10/06/2020               13.3       140
10/07/2020               13.5       140
10/08/2020               13.3       140
10/09/2020               13.4       140
10/10/2020               12.6       140
10/11/2020               11.6       140
10/12/2020               12.2       140
10/13/2020               11.6       140
10/14/2020               10.9       140
10/15/2020               10.6       140
10/16/2020               11.0       140
10/17/2020               12.1       140
10/18/2020               11.8       140
10/19/2020               11.9       140
10/20/2020               11.5       140
10/21/2020               10.3       140
10/22/2020                          255
10/23/2020                7.8       140
10/24/2020                7.8       140
10/25/2020                6.0       140
10/26/2020                5.6       140
10/27/2020                6.1       140
10/28/2020                7.2       140
10/29/2020                8.4       140
10/30/2020                8.8       140
10/31/2020                8.0       140
11/01/2020                7.6       140
11/02/2020                7.5       140
11/03/2020                7.9       140
11/04/2020                9.7       140
11/05/2020               10.2       140
11/06/2020                9.5       140
11/07/2020                8.4       140
11/08/2020                6.5       140
11/09/2020                5.4       140
11/10/2020                          255
11/11/2020                5.5       140
11/12/2020                5.5       140
11/13/2020                6.1       140
11/14/2020                6.1       140
11/15/2020                7.1       140
11/16/2020                7.4       140
11/17/2020                8.5       140
11/18/2020                8.1       140
11/19/2020                7.0       140
11/20/2020                6.0       140
11/21/2020                5.4       140
11/22/2020                4.9       140
11/23/2020                5.8       140
11/24/2020                5.9       140
11/25/2020                6.1       140
11/26/2020                5.8       140
11/27/2020                5.2       140
11/28/2020                5.6       140
11/29/2020                5.3       140
11/30/2020                5.0       140
12/01/2020                4.9       140
12/02/2020                4.0       140
12/03/2020                3.7       140
12/04/2020                3.5       140
12/05/2020                3.5       140
12/06/2020                3.6       140
12/07/2020                3.9       140
12/08/2020                4.6       140
12/09/2020                5.4       140
12/10/2020                4.5       140
12/11/2020                4.7       140
12/12/2020                4.3       140
12/13/2020                4.0       140
12/14/2020                4.7       140
12/15/2020                5.1       140
12/16/2020                5.8       140
12/17/2020                6.0       140
12/18/2020                5.8       140
12/19/2020                6.4       140
12/20/2020                7.4       140
12/21/2020                7.3       140
12/22/2020                5.5       140
12/23/2020                3.8       140
12/24/2020                3.1       140
12/25/2020                3.3       140
12/26/2020                4.7       140
12/27/2020                4.6       140
12/28/2020                3.7       140
12/29/2020                3.9       140
12/30/2020                4.2       140
