To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

35B150--Tucannon R. nr Marengo

DATE         Water Temp. (°C)   QUALITY
----------   ----------------   -------
10/01/2014               12.3       140
10/02/2014               11.9       140
10/03/2014               11.4       140
10/04/2014               12.2       140
10/05/2014               13.1       140
10/06/2014               13.7       140
10/07/2014               14.0       140
10/08/2014               13.6       140
10/09/2014               12.7       140
10/10/2014               12.5       140
10/11/2014               12.8       140
10/12/2014               11.9       140
10/13/2014               12.0       140
10/14/2014               12.2       140
10/15/2014               11.6       140
10/16/2014               10.6       140
10/17/2014               10.8       140
10/18/2014               12.2       140
10/19/2014               12.0       140
10/20/2014               11.6       140
10/21/2014               11.6       140
10/22/2014               11.1       140
10/23/2014               11.7       140
10/24/2014               11.1       140
10/25/2014               11.3       140
10/26/2014               10.2       140
10/27/2014                9.4       140
10/28/2014                9.8       140
10/29/2014               10.9       140
10/30/2014               11.0       140
10/31/2014               11.0       140
11/01/2014               10.1       140
11/02/2014                8.8       140
11/03/2014                9.7       140
11/04/2014               10.6       140
11/05/2014               11.1       140
11/06/2014               11.9       140
11/07/2014               10.1       140
11/08/2014                8.6       140
11/09/2014                9.1       140
11/10/2014                7.7       140
11/11/2014                4.7       140
11/12/2014                2.7       140
11/13/2014                2.7       140
11/14/2014                3.2       140
11/15/2014                1.8       140
11/16/2014                1.4       140
11/17/2014                1.3       140
11/18/2014                1.5       140
11/19/2014                2.4       140
11/20/2014                3.8       140
11/21/2014                5.6       140
11/22/2014                6.6       140
11/23/2014                5.8       140
11/24/2014                5.9       140
11/25/2014                7.8       140
11/26/2014                8.1       140
11/27/2014                8.3       140
11/28/2014                8.8       140
11/29/2014                6.0       140
11/30/2014                2.0       140
12/01/2014                2.1       140
12/02/2014                2.9       140
12/03/2014                3.4       140
12/04/2014                4.1       140
12/05/2014                4.9       140
12/06/2014                5.6       140
12/07/2014                5.6       140
12/08/2014                5.8       140
12/09/2014                7.2       140
12/10/2014                8.2       140
12/11/2014                8.5       140
12/12/2014                8.0       140
