To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

35B150--Tucannon R. nr Marengo

DATE         TIME    WATER TEMP. (°C)   QUALITY
----------   -----   ----------------   -------
10/01/2011   00:00               14.2       140
10/02/2011   00:00               13.3         1
10/03/2011   00:00               13.0         1
10/04/2011   00:00               12.4         1
10/05/2011   00:00               11.9         1
10/06/2011   00:00               10.5         1
10/07/2011   00:00               11.2         1
10/08/2011   00:00               11.5         1
10/09/2011   00:00               10.9         1
10/10/2011   00:00               11.0         1
10/11/2011   00:00               11.6         1
10/12/2011   00:00               11.1         1
10/13/2011   00:00               10.8         1
10/14/2011   00:00               11.2         1
10/15/2011   00:00               11.2         1
10/16/2011   00:00               10.8         1
10/17/2011   00:00                9.9         1
10/18/2011   00:00                9.7         1
10/19/2011   00:00                9.9         1
10/20/2011   00:00               10.6         1
10/21/2011   00:00               10.9         1
10/22/2011   00:00               11.7         1
10/23/2011   00:00               11.9         1
10/24/2011   00:00               10.4         1
10/25/2011   00:00                8.1         1
10/26/2011   00:00                7.5         1
10/27/2011   00:00                8.1         1
10/28/2011   00:00                7.8         1
10/29/2011   00:00                9.2         1
10/30/2011   00:00                9.0         1
10/31/2011   00:00                9.4         1
11/01/2011   00:00                7.2         1
11/02/2011   00:00                6.2         1
11/03/2011   00:00                7.0         1
11/04/2011   00:00                6.8         1
11/05/2011   00:00                5.7         1
11/06/2011   00:00                5.2         1
11/07/2011   00:00                5.4         1
11/08/2011   00:00                6.4         1
11/09/2011   00:00                6.4         1
11/10/2011   00:00                5.6         1
11/11/2011   00:00                5.9         1
11/12/2011   00:00                6.0         1
11/13/2011   00:00                6.5         1
11/14/2011   00:00                6.3         1
11/15/2011   00:00                5.0         1
11/16/2011   00:00                4.3         1
11/17/2011   00:00                6.2         1
11/18/2011   00:00                5.2         1
11/19/2011   00:00                4.6         1
11/20/2011   00:00                4.0         1
11/21/2011   00:00                5.0         1
11/22/2011   00:00                7.1         1
11/23/2011   00:00                7.8         1
11/24/2011   00:00                7.1         1
11/25/2011   00:00                5.8         1
