To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

35B150--Tucannon R. nr Marengo

DATE         Stage (ft.)   QUALITY
----------   -----------   -------
10/01/2020          3.52        77
10/02/2020          3.53        77
10/03/2020          3.53        77
10/04/2020          3.53        77
10/05/2020          3.53        77
10/06/2020          3.54        77
10/07/2020          3.54        77
10/08/2020          3.54        77
10/09/2020          3.54        77
10/10/2020          3.55        77
10/11/2020          3.58        77
10/12/2020          3.61        77
10/13/2020          3.61        77
10/14/2020          3.63        77
10/15/2020          3.59        77
10/16/2020          3.58        77
10/17/2020          3.58        77
10/18/2020          3.58        77
10/19/2020          3.59        77
10/20/2020          3.58        77
10/21/2020          3.58        77
10/22/2020          3.60        77
10/23/2020          3.61        77
10/24/2020          3.61        77
10/25/2020          3.61        77
10/26/2020          3.61        77
10/27/2020          3.62        77
10/28/2020          3.63        77
10/29/2020          3.63        77
10/30/2020          3.64        77
10/31/2020          3.63        77
11/01/2020          3.63        77
11/02/2020          3.63        77
11/03/2020          3.63        77
11/04/2020          3.63        77
11/05/2020          3.64        77
11/06/2020          3.85        77
11/07/2020          3.76        77
11/08/2020          3.57        77
11/09/2020          3.47        77
11/10/2020          3.55        77
11/11/2020          3.70         2
11/12/2020          3.66         2
11/13/2020          3.72         2
11/14/2020          3.75         2
11/15/2020          3.74         2
11/16/2020          3.75         2
11/17/2020          3.79         2
11/18/2020          3.85         2
11/19/2020          3.88         2
11/20/2020          3.83         2
11/21/2020          3.79         2
11/22/2020          3.76         2
11/23/2020          3.75         2
11/24/2020          3.73         2
11/25/2020          3.73         2
11/26/2020          3.71         2
11/27/2020          3.70         2
11/28/2020          3.69         2
11/29/2020          3.69         2
11/30/2020          3.68         2
12/01/2020          3.68         2
12/02/2020          3.67         2
12/03/2020          3.67         2
12/04/2020          3.66         2
12/05/2020          3.66         2
12/06/2020          3.66         2
12/07/2020          3.66         2
12/08/2020          3.66         2
12/09/2020          3.67         2
12/10/2020          3.68         2
12/11/2020          3.67         2
12/12/2020          3.67         2
12/13/2020          3.67         2
12/14/2020          3.68         2
12/15/2020          3.67         2
12/16/2020          3.67         2
12/17/2020          3.70         2
12/18/2020          3.71         2
