To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

35B150--Tucannon R. nr Marengo

DATE         Stage (ft.)   QUALITY
----------   -----------   -------
10/01/2018          2.93         2
10/02/2018          2.93         2
10/03/2018          2.93         2
10/04/2018          2.94         2
10/05/2018          2.95         2
10/06/2018          2.98         2
10/07/2018          2.99         2
10/08/2018          2.99         2
10/09/2018          3.04         2
10/10/2018          3.03         2
10/11/2018          3.00         2
10/12/2018          2.99         2
10/13/2018          2.99         2
10/14/2018          2.98         2
10/15/2018          2.99         2
10/16/2018          2.98         2
10/17/2018          2.98         2
10/18/2018          2.99         2
10/19/2018          2.99         2
10/20/2018          2.98         2
10/21/2018          2.98         2
10/22/2018          2.98         2
10/23/2018          2.99         2
10/24/2018          2.99         2
10/25/2018          3.00         2
10/26/2018          3.00         2
10/27/2018          3.03         2
10/28/2018          3.03         2
10/29/2018          3.05         2
10/30/2018          3.02         2
10/31/2018          2.97         2
11/01/2018          3.00         2
11/02/2018          3.02         2
11/03/2018          3.03         2
11/04/2018          3.04         2
11/05/2018          3.04         2
11/06/2018          3.05         2
11/07/2018          3.04         2
11/08/2018          3.03         2
11/09/2018          3.02         2
11/10/2018          3.01         2
11/11/2018          3.01         2
11/12/2018          3.01         2
11/13/2018          3.01         2
11/14/2018          3.01         2
11/15/2018          3.01         2
11/16/2018          3.01         2
11/17/2018          3.01         2
11/18/2018          3.01         2
11/19/2018          3.01         2
11/20/2018          3.01         2
11/21/2018          3.02         2
11/22/2018          3.02         2
11/23/2018          3.05         2
11/24/2018          3.10         2
11/25/2018          3.06         2
11/26/2018          3.04         2
11/27/2018          3.06         2
11/28/2018          3.12         2
11/29/2018          3.09         2
11/30/2018          3.07         2
12/01/2018          3.06         2
12/02/2018          3.04         2
12/03/2018          3.04         2
12/04/2018          3.02         2
12/05/2018          3.03         2
12/06/2018          3.01         2
12/07/2018          3.00         2
12/08/2018          3.02         2
12/09/2018          3.01         2
12/10/2018          3.02         2
12/11/2018          3.02         2
12/12/2018          3.10         2
12/13/2018          3.04         2
12/14/2018          3.02         2
12/15/2018          3.01         2
12/16/2018          3.01         2
12/17/2018          3.05         2
12/18/2018          3.21         2
12/19/2018          3.33         2
12/20/2018          3.24         2
12/21/2018          3.23         2
12/22/2018          3.19         2
12/23/2018          3.17         2
12/24/2018          3.17         2
12/25/2018          3.14         2
12/26/2018          3.12         2
12/27/2018          3.11         2
12/28/2018          3.09         2
12/29/2018          3.11         2
12/30/2018          3.17         2
12/31/2018          3.19         2
01/01/2019          3.18         2
01/02/2019          3.18         2
01/03/2019          3.16         2
01/04/2019          3.13         2
01/05/2019          3.11         2
01/06/2019          3.10         2
01/07/2019          3.09         2
01/08/2019          3.06         2
01/09/2019          3.06         2
01/10/2019          3.06         2
01/11/2019          3.07         2
01/12/2019          3.07         2
01/13/2019          3.07         2
01/14/2019          3.06         2
01/15/2019          3.05         2
01/16/2019          3.03         2
01/17/2019          3.03         2
01/18/2019          3.06         2
01/19/2019          3.07         2
01/20/2019          3.11         2
01/21/2019          3.12         2
01/22/2019          3.13         2
01/23/2019          3.23         2
01/24/2019          3.30         2
01/25/2019          3.32         2
01/26/2019          3.30         2
01/27/2019          3.27         2
01/28/2019          3.25         2
01/29/2019          3.23         2
01/30/2019          3.20         2
01/31/2019          3.18         2
02/01/2019          3.15         2
02/02/2019          3.15         2
02/03/2019          3.21         2
02/04/2019          3.23         2
02/05/2019          3.22         2
