To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

35B150--Tucannon R. nr Marengo

DATE         TIME    WATER TEMP. (°C)   QUALITY
----------   -----   ----------------   -------
10/01/2008   00:00               13.5       140
10/02/2008   00:00               13.7       140
10/03/2008   00:00               13.7       140
10/04/2008   00:00               13.5       140
10/05/2008   00:00               11.8       140
10/06/2008   00:00               11.6       140
10/07/2008   00:00               12.0       140
10/08/2008   00:00               10.1       140
10/09/2008   00:00                8.9       140
10/10/2008   00:00                9.0       140
10/11/2008   00:00                7.5       140
10/12/2008   00:00                7.1       140
10/13/2008   00:00                8.7       140
10/14/2008   00:00               10.0       140
10/15/2008   00:00                8.5       140
10/16/2008   00:00                9.4       140
10/17/2008   00:00               10.0       140
10/18/2008   00:00               10.9       140
10/19/2008   00:00                9.5       140
10/20/2008   00:00                9.6       140
10/21/2008   00:00                8.6       140
10/22/2008   00:00                7.8       140
10/23/2008   00:00                7.6       140
10/24/2008   00:00                8.2       140
10/25/2008   00:00                9.1       140
10/26/2008   00:00                7.8       140
10/27/2008   00:00                7.4       140
10/28/2008   00:00                7.4       140
10/29/2008   00:00                7.9       140
10/30/2008   00:00                8.6       140
10/31/2008   00:00                9.8       140
11/01/2008   00:00               10.3       140
11/02/2008   00:00               10.5       140
11/03/2008   00:00                8.8       140
11/04/2008   00:00                8.1       140
11/05/2008   00:00                6.9       140
11/06/2008   00:00                7.5       140
11/07/2008   00:00                9.4       140
11/08/2008   00:00                9.4       140
11/09/2008   00:00                9.1       140
11/10/2008   00:00                8.6       140
11/11/2008   00:00                8.1       140
11/12/2008   00:00               10.8       140
11/13/2008   00:00                9.4       140
11/14/2008   00:00                6.6       140
11/15/2008   00:00                6.9       140
11/16/2008   00:00                7.1       140
11/17/2008   00:00                7.8       140
11/18/2008   00:00                7.7       140
11/19/2008   00:00                7.7       140
11/20/2008   00:00                7.6       140
11/21/2008   00:00                6.6       140
11/22/2008   00:00                6.8       140
11/23/2008   00:00                5.2       140
11/24/2008   00:00                4.4       140
11/25/2008   00:00                4.7       140
11/26/2008   00:00                6.0       140
11/27/2008   00:00                5.1       140
11/28/2008   00:00                5.8       140
11/29/2008   00:00                7.6       140
11/30/2008   00:00                7.6       140
12/01/2008   00:00                7.0       140
12/02/2008   00:00                7.8       140
12/03/2008   00:00                7.0       140
12/04/2008   00:00                4.3       140
12/05/2008   00:00                4.1       140
12/06/2008   00:00                5.3       140
12/07/2008   00:00                6.5       140
12/08/2008   00:00                5.7       140
12/09/2008   00:00                5.1       140
12/10/2008   00:00                6.5       140
12/11/2008   00:00                5.6       140
12/12/2008   00:00                4.9       140
12/13/2008   00:00                3.6       140
12/14/2008   00:00                1.6       140
12/15/2008   00:00                0.2       140
12/16/2008   00:00                 ""       255
12/17/2008   00:00                0.0       140
12/18/2008   00:00                1.1       140
12/19/2008   00:00                0.6       140
12/20/2008   00:00                0.0       140
12/21/2008   00:00                0.0       140
12/22/2008   00:00                0.0       140
12/23/2008   00:00                 ""       255
12/24/2008   00:00                 ""       255
12/25/2008   00:00                 ""       255
12/26/2008   00:00                 ""       255
12/27/2008   00:00                 ""       255
12/28/2008   00:00                 ""       255
12/29/2008   00:00                 ""       255
12/30/2008   00:00                 ""       255
12/31/2008   00:00                 ""       255
01/01/2009   00:00                 ""       255
01/02/2009   00:00                 ""       255
01/03/2009   00:00                 ""       255
01/04/2009   00:00                 ""       255
01/05/2009   00:00                 ""       255
01/06/2009   00:00                 ""       255
01/07/2009   00:00                 ""       255
01/08/2009   00:00                 ""       255
01/09/2009   00:00                 ""       255
01/10/2009   00:00                 ""       255
01/11/2009   00:00                 ""       255
01/12/2009   00:00                 ""       255
01/13/2009   00:00               10.0       140
01/14/2009   00:00                5.3       140
01/15/2009   00:00                4.7       140
01/16/2009   00:00                4.4       140
01/17/2009   00:00                4.2       140
01/18/2009   00:00                4.1       140
01/19/2009   00:00                3.9       140
01/20/2009   00:00                3.6       140
01/21/2009   00:00                3.4       140
01/22/2009   00:00                3.5       140
01/23/2009   00:00                3.4       140
01/24/2009   00:00                3.2       140
01/25/2009   00:00                2.8       140
01/26/2009   00:00                1.4       140
01/27/2009   00:00                1.8       140
01/28/2009   00:00                3.8       140
01/29/2009   00:00                4.1       140
01/30/2009   00:00                4.2       140
01/31/2009   00:00                4.6       140
02/01/2009   00:00                3.8       140
02/02/2009   00:00                5.0       140
02/03/2009   00:00                4.9       140
02/04/2009   00:00                4.8       140
02/05/2009   00:00                4.9       140
02/06/2009   00:00                6.0       140
02/07/2009   00:00                5.0       140
02/08/2009   00:00                3.9       140
02/09/2009   00:00                4.2       140
02/10/2009   00:00                3.7       140
02/11/2009   00:00                4.3       140
02/12/2009   00:00                3.9       140
02/13/2009   00:00                3.9       140
02/14/2009   00:00                4.5       140
02/15/2009   00:00                4.1       140
02/16/2009   00:00                5.1       140
02/17/2009   00:00                5.2       140
02/18/2009   00:00                5.1       140
02/19/2009   00:00                5.1       140
02/20/2009   00:00                4.9       140
02/21/2009   00:00                4.6       140
02/22/2009   00:00                4.2       140
02/23/2009   00:00                5.9       140
02/24/2009   00:00                6.0       140
02/25/2009   00:00                6.1       140
02/26/2009   00:00                4.7       140
02/27/2009   00:00                3.7       140
02/28/2009   00:00                4.4       140
03/01/2009   00:00                5.7       140
03/02/2009   00:00                6.8       140
03/03/2009   00:00                6.4       140
03/04/2009   00:00                5.8       140
03/05/2009   00:00                4.5       140
03/06/2009   00:00                3.3       140
03/07/2009   00:00                3.6       140
03/08/2009   00:00                4.1       140
03/09/2009   00:00                4.2       140
03/10/2009   00:00                3.5       140
03/11/2009   00:00                3.0       140
03/12/2009   00:00                3.3       140
03/13/2009   00:00                4.2       140
03/14/2009   00:00                5.3       140
03/15/2009   00:00                5.8       140
03/16/2009   00:00                5.4       140
03/17/2009   00:00                5.9       140
03/18/2009   00:00                6.4       140
03/19/2009   00:00                6.8       140
03/20/2009   00:00                7.6       140
03/21/2009   00:00                7.6       140
03/22/2009   00:00                6.6       140
03/23/2009   00:00                6.3       140
03/24/2009   00:00                6.4       140
03/25/2009   00:00                6.0       140
03/26/2009   00:00                6.0       140
03/27/2009   00:00                6.5       140
03/28/2009   00:00                6.6       140
03/29/2009   00:00                5.0       140
03/30/2009   00:00                6.0       140
03/31/2009   00:00                5.7       140
04/01/2009   00:00                5.4       140
04/02/2009   00:00                6.4       140
04/03/2009   00:00                6.2       140
04/04/2009   00:00                7.0       140
04/05/2009   00:00                7.6       140
04/06/2009   00:00                8.2       140
04/07/2009   00:00                8.5       140
04/08/2009   00:00                7.8       140
04/09/2009   00:00                7.3       140
04/10/2009   00:00                7.3       140
04/11/2009   00:00                7.5       140
04/12/2009   00:00                7.5       140
04/13/2009   00:00                7.2       140
04/14/2009   00:00                6.3       140
04/15/2009   00:00                7.2       140
04/16/2009   00:00                7.6       140
04/17/2009   00:00                7.4       140
04/18/2009   00:00                8.4       140
04/19/2009   00:00                8.6       140
04/20/2009   00:00                9.2       140
04/21/2009   00:00                8.8       140
04/22/2009   00:00                8.2       140
04/23/2009   00:00                7.1       140
04/24/2009   00:00                6.7       140
04/25/2009   00:00                7.1       140
04/26/2009   00:00                7.5       140
04/27/2009   00:00                7.3       140
04/28/2009   00:00                7.1       140
04/29/2009   00:00                7.3       140
04/30/2009   00:00                7.6       140
05/01/2009   00:00                8.3       140
05/02/2009   00:00                8.1       140
05/03/2009   00:00                8.1       140
05/04/2009   00:00                8.3       140
05/05/2009   00:00                8.6       140
05/06/2009   00:00                7.6       140
05/07/2009   00:00                7.8       140
05/08/2009   00:00                7.8       140
05/09/2009   00:00                8.4       140
05/10/2009   00:00                9.0       140
05/11/2009   00:00                9.4       140
05/12/2009   00:00                7.5       140
05/13/2009   00:00                7.7       140
05/14/2009   00:00                9.0       140
05/15/2009   00:00                8.8       140
05/16/2009   00:00                9.2       140
05/17/2009   00:00                9.9       140
05/18/2009   00:00               10.0       140
05/19/2009   00:00                9.1       140
05/20/2009   00:00                8.4       140
05/21/2009   00:00                8.8       140
05/22/2009   00:00                9.6       140
05/23/2009   00:00               10.2       140
05/24/2009   00:00               10.5       140
05/25/2009   00:00               10.4       140
05/26/2009   00:00               10.2       140
05/27/2009   00:00               10.6       140
05/28/2009   00:00               11.0       140
05/29/2009   00:00               11.2       140
05/30/2009   00:00               12.1       140
05/31/2009   00:00               11.2       140
06/01/2009   00:00               11.0       140
06/02/2009   00:00               11.4       140
06/03/2009   00:00               12.0       140
06/04/2009   00:00               11.8       140
06/05/2009   00:00               12.1       140
06/06/2009   00:00               11.2       140
06/07/2009   00:00               10.5       140
06/08/2009   00:00               11.1       140
06/09/2009   00:00               11.6       140
06/10/2009   00:00               12.1       140
06/11/2009   00:00               12.5       140
06/12/2009   00:00               12.2       140
06/13/2009   00:00               12.1       140
06/14/2009   00:00               11.7       140
06/15/2009   00:00               12.7       140
06/16/2009   00:00               13.3       140
06/17/2009   00:00               13.4       140
06/18/2009   00:00               13.4       140
06/19/2009   00:00               12.6       140
06/20/2009   00:00               12.5       140
06/21/2009   00:00               10.9       140
06/22/2009   00:00               11.5       140
06/23/2009   00:00               12.5       140
06/24/2009   00:00               14.3       140
06/25/2009   00:00               14.6       140
06/26/2009   00:00               14.2       140
06/27/2009   00:00               14.4       140
06/28/2009   00:00               15.2       140
06/29/2009   00:00               15.2       140
06/30/2009   00:00               15.1       140
07/01/2009   00:00               15.2       140
07/02/2009   00:00               15.7       140
07/03/2009   00:00               16.5       140
07/04/2009   00:00               17.0       140
07/05/2009   00:00               17.5       140
07/06/2009   00:00               16.6       140
07/07/2009   00:00               15.7       140
07/08/2009   00:00               15.1       140
07/09/2009   00:00               15.3       140
07/10/2009   00:00               15.8       140
07/11/2009   00:00               16.1       140
07/12/2009   00:00               16.8       140
07/13/2009   00:00               14.8       140
07/14/2009   00:00               15.5       140
07/15/2009   00:00               16.3       140
07/16/2009   00:00               16.9       140
07/17/2009   00:00               17.4       140
07/18/2009   00:00               17.9       140
07/19/2009   00:00               17.9       140
07/20/2009   00:00               17.4       140
07/21/2009   00:00               17.9       140
07/22/2009   00:00               18.1       140
07/23/2009   00:00               17.9       140
07/24/2009   00:00               18.0       140
07/25/2009   00:00               17.7       140
07/26/2009   00:00               17.6       140
07/27/2009   00:00               18.2       140
07/28/2009   00:00               18.9       140
07/29/2009   00:00               19.0       140
07/30/2009   00:00               18.5       140
07/31/2009   00:00               18.9       140
08/01/2009   00:00               19.3       140
08/02/2009   00:00               19.3       140
08/03/2009   00:00               19.3       140
08/04/2009   00:00               18.8       140
08/05/2009   00:00               18.9       140
08/06/2009   00:00               17.7       140
08/07/2009   00:00               15.4       140
08/08/2009   00:00               16.4       140
08/09/2009   00:00               17.1       140
08/10/2009   00:00               17.5       140
08/11/2009   00:00               17.5       140
08/12/2009   00:00               17.3       140
08/13/2009   00:00               17.2       140
08/14/2009   00:00               15.4       140
08/15/2009   00:00               15.2       140
08/16/2009   00:00               15.7       140
08/17/2009   00:00               16.1       140
08/18/2009   00:00               16.7       140
08/19/2009   00:00               17.4       140
08/20/2009   00:00               18.2       140
08/21/2009   00:00               18.2       140
