To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

35B150--Tucannon R. nr Marengo

DATE         Water Temp. (°C)   QUALITY
----------   ----------------   -------
10/01/2012               12.9       140
10/02/2012               13.2       140
10/03/2012               10.5       140
10/04/2012                9.7       140
10/05/2012                9.1       140
10/06/2012                8.9       140
10/07/2012                9.3       140
10/08/2012                9.6       140
10/09/2012                9.9       140
10/10/2012               10.4       140
10/11/2012               10.4       140
10/12/2012               10.4       140
10/13/2012               11.9       140
10/14/2012               11.8       140
10/15/2012               12.8       140
10/16/2012               12.2       140
10/17/2012                9.9       140
10/18/2012                9.5       140
10/19/2012               11.3       140
10/20/2012               10.5       140
10/21/2012                8.2       140
10/22/2012                7.5       140
10/23/2012                7.4       140
10/24/2012                7.0       140
10/25/2012                7.4       140
10/26/2012                6.8       140
10/27/2012                7.9       140
10/28/2012               10.1       140
10/29/2012               10.7       140
10/30/2012               10.3       140
10/31/2012               10.7       140
11/01/2012               10.2       140
11/02/2012                9.9       140
11/03/2012               10.0       140
11/04/2012               10.8       140
11/05/2012               11.2       140
11/06/2012               10.5       140
11/07/2012                9.9       140
11/08/2012                7.2       140
11/09/2012                6.9       140
11/10/2012                5.6       140
11/11/2012                5.3       140
11/12/2012                6.6       140
11/13/2012                7.3       140
11/14/2012                7.7       140
11/15/2012                6.6       140
11/16/2012                7.0       140
11/17/2012                7.9       140
11/18/2012                7.3       140
11/19/2012                7.9       140
11/20/2012                8.4       140
11/21/2012                7.4       140
11/22/2012                6.0       140
11/23/2012                6.3       140
11/24/2012                7.8       140
11/25/2012                6.1       140
11/26/2012                4.7       140
11/27/2012                4.5       140
11/28/2012                5.0       140
11/29/2012                6.4       140
11/30/2012                7.8       140
12/01/2012                7.6       140
12/02/2012                7.0       140
12/03/2012                6.8       140
12/04/2012                7.5       140
12/05/2012                7.0       140
12/06/2012                5.8       140
12/07/2012                6.0       140
12/08/2012                5.0       140
12/09/2012                4.9       140
12/10/2012                6.2       140
12/11/2012                6.3       140
12/12/2012                6.2       140
12/13/2012                4.9       140
12/14/2012                4.1       140
12/15/2012                4.7       140
12/16/2012                4.9       140
12/17/2012                5.2       140
12/18/2012                3.9       140
12/19/2012                3.7       140
12/20/2012                4.6       140
12/21/2012                5.3       140
12/22/2012                5.5       140
12/23/2012                4.7       140
12/24/2012                4.4       140
12/25/2012                3.8       140
12/26/2012                4.6       140
12/27/2012                4.9       140
12/28/2012                4.4       140
12/29/2012                3.4       140
12/30/2012                3.5       140
12/31/2012                2.9       140
01/01/2013                2.9       140
01/02/2013                2.0       140
01/03/2013                1.1       140
01/04/2013                2.1       140
01/05/2013                2.2       140
01/06/2013                3.5       140
01/07/2013                4.4       140
01/08/2013                5.3       140
01/09/2013                5.8       140
01/10/2013                4.0       140
01/11/2013                3.0       140
01/12/2013                2.0       140
01/13/2013                2.0       140
01/14/2013                2.4       140
01/15/2013                2.8       140
