To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

35B150--Tucannon R. nr Marengo

DATE         TIME    STAGE (ft.)   QUALITY
----------   -----   -----------   -------
10/01/2009   00:00          3.85        50
10/02/2009   00:00          3.85        50
10/03/2009   00:00          3.88        50
10/04/2009   00:00          3.93        50
10/05/2009   00:00          3.88        50
10/06/2009   00:00          3.87        50
10/07/2009   00:00          3.86        50
10/08/2009   00:00          3.86        50
10/09/2009   00:00          3.86        50
10/10/2009   00:00          3.86        50
10/11/2009   00:00          3.87        50
10/12/2009   00:00          3.87        50
10/13/2009   00:00          3.88        50
10/14/2009   00:00          3.94        50
10/15/2009   00:00          3.95        50
10/16/2009   00:00          3.90        50
10/17/2009   00:00          3.88        50
10/18/2009   00:00          3.88        50
10/19/2009   00:00          3.88        50
10/20/2009   00:00          3.88         1
10/21/2009   00:00          3.88         1
10/22/2009   00:00          3.89         1
10/23/2009   00:00          3.90         1
10/24/2009   00:00          3.92         1
10/25/2009   00:00          3.91         1
10/26/2009   00:00          3.94        82
10/27/2009   00:00          3.98         1
10/28/2009   00:00          3.89         1
10/29/2009   00:00          3.86         1
10/30/2009   00:00          3.87         1
10/31/2009   00:00          3.91         1
11/01/2009   00:00          3.90         1
11/02/2009   00:00          3.88         1
11/03/2009   00:00          3.90         1
11/04/2009   00:00          3.88         1
11/05/2009   00:00          3.86         1
11/06/2009   00:00          3.88         1
11/07/2009   00:00          3.88         1
11/08/2009   00:00          3.88         1
11/09/2009   00:00          3.87         1
11/10/2009   00:00          3.88         1
11/11/2009   00:00          3.88         1
11/12/2009   00:00          3.88         1
11/13/2009   00:00          3.87         1
11/14/2009   00:00          3.87         1
11/15/2009   00:00          3.86         1
11/16/2009   00:00          3.86        50
11/17/2009   00:00          3.86        50
11/18/2009   00:00          3.87        50
11/19/2009   00:00          3.87        50
11/20/2009   00:00          3.88        50
11/21/2009   00:00          3.89        50
11/22/2009   00:00          3.93         1
11/23/2009   00:00          3.92         1
11/24/2009   00:00          3.91         1
11/25/2009   00:00          3.91         1
11/26/2009   00:00          3.91         1
11/27/2009   00:00          3.95         1
11/28/2009   00:00          3.97         1
11/29/2009   00:00          3.96         1
11/30/2009   00:00          3.96         1
12/01/2009   00:00          3.95         1
12/02/2009   00:00          3.93         1
12/03/2009   00:00          3.92         1
12/04/2009   00:00          3.92         1
12/05/2009   00:00          3.91         1
12/06/2009   00:00            ""       250
12/07/2009   00:00            ""       250
12/08/2009   00:00            ""       250
12/09/2009   00:00            ""       250
12/10/2009   00:00            ""       250
12/11/2009   00:00            ""       250
12/12/2009   00:00            ""       250
12/13/2009   00:00            ""       250
12/14/2009   00:00          3.90        50
12/15/2009   00:00          3.89        50
12/16/2009   00:00          3.92        50
12/17/2009   00:00          3.93        50
12/18/2009   00:00          3.89        50
12/19/2009   00:00          3.90         1
12/20/2009   00:00          3.91         1
12/21/2009   00:00          3.94         1
12/22/2009   00:00          3.96         1
