35B150--Tucannon R. nr Marengo

DATE         TIME    STAGE (ft.)   QUALITY
02/03/2003   00:00            ""       255
02/04/2003   00:00            ""       255
02/05/2003   00:00            ""       255
02/06/2003   00:00            ""       255
02/07/2003   00:00            ""       255
02/08/2003   00:00            ""       255
02/09/2003   00:00            ""       255
02/10/2003   00:00            ""       255
02/11/2003   00:00            ""       255
02/12/2003   00:00            ""       255
02/13/2003   00:00            ""       255
02/14/2003   00:00            ""       255
02/15/2003   00:00            ""       255
02/16/2003   00:00            ""       255
02/17/2003   00:00            ""       255
02/18/2003   00:00            ""       255
02/19/2003   00:00            ""       255
02/20/2003   00:00            ""       255
02/21/2003   00:00            ""       255
02/22/2003   00:00            ""       255
02/23/2003   00:00            ""       255
02/24/2003   00:00            ""       255
02/25/2003   00:00            ""       255
02/26/2003   00:00            ""       255
02/27/2003   00:00            ""       255
02/28/2003   00:00            ""       255
03/01/2003   00:00            ""       255
03/02/2003   00:00            ""       255
03/03/2003   00:00            ""       255
03/04/2003   00:00            ""       255
03/05/2003   00:00            ""       255
03/06/2003   00:00            ""       255
03/07/2003   00:00            ""       255
03/08/2003   00:00            ""       255
03/09/2003   00:00            ""       255
03/10/2003   00:00            ""       255
03/11/2003   00:00            ""       255
03/12/2003   00:00            ""       255
03/13/2003   00:00            ""       255
03/14/2003   00:00            ""       255
03/15/2003   00:00            ""       255
03/16/2003   00:00            ""       255
03/17/2003   00:00            ""       255
03/18/2003   00:00            ""       255
03/19/2003   00:00            ""       255
03/20/2003   00:00            ""       255
03/21/2003   00:00            ""       255
03/22/2003   00:00            ""       255
03/23/2003   00:00            ""       255
03/24/2003   00:00            ""       255
03/25/2003   00:00            ""       255
03/26/2003   00:00            ""       255
03/27/2003   00:00            ""       255
03/28/2003   00:00            ""       255
03/29/2003   00:00            ""       255
03/30/2003   00:00            ""       255
03/31/2003   00:00            ""       255
04/01/2003   00:00            ""       255
04/02/2003   00:00            ""       255
04/03/2003   00:00            ""       255
04/04/2003   00:00            ""       255
04/05/2003   00:00            ""       255
04/06/2003   00:00            ""       255
04/07/2003   00:00            ""       255
04/08/2003   00:00            ""       255
04/09/2003   00:00            ""       255
04/10/2003   00:00            ""       255
04/11/2003   00:00            ""       255
04/12/2003   00:00            ""       255
04/13/2003   00:00            ""       255
04/14/2003   00:00            ""       255
04/15/2003   00:00            ""       255
