To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

35B150--Tucannon R. nr Marengo

DATE         Stage (ft.)   QUALITY
----------   -----------   -------
10/01/2019          2.86         2
10/02/2019          2.85         3
10/03/2019          2.85         2
10/04/2019          2.85         2
10/05/2019          2.84         2
10/06/2019          2.84         2
10/07/2019          2.83         2
10/08/2019          2.86         2
10/09/2019          2.90         2
10/10/2019          2.86         2
10/11/2019          2.85         2
10/12/2019          2.85         2
10/13/2019          2.85         2
10/14/2019          2.86         2
10/15/2019          2.85         2
10/16/2019          2.85         2
10/17/2019          2.85         2
10/18/2019          2.85         2
10/19/2019          2.93         2
10/20/2019          3.02         2
10/21/2019          2.92         2
10/22/2019          2.99         2
10/23/2019          2.99         2
10/24/2019          2.94         2
10/25/2019          2.90         2
10/26/2019          2.90         2
10/27/2019          2.89         2
10/28/2019          2.87         2
10/29/2019          2.86         2
10/30/2019          2.85         2
10/31/2019          2.88         2
11/01/2019          2.87         2
11/02/2019          2.86         2
11/03/2019          2.86         2
11/04/2019          2.87         2
11/05/2019          2.86         2
11/06/2019          2.86         2
11/07/2019          2.86         2
11/08/2019          2.86         2
11/09/2019          2.86         2
11/10/2019          2.86         2
11/11/2019          2.86         2
11/12/2019          2.86         2
11/13/2019          2.86         2
11/14/2019          2.86         2
11/15/2019          2.86         2
11/16/2019          2.87         2
11/17/2019          2.87         2
11/18/2019          2.88         2
11/19/2019          2.90         2
11/20/2019          2.90         2
11/21/2019          2.89         2
11/22/2019          2.88         2
11/23/2019          2.88         2
11/24/2019          2.87         2
11/25/2019          2.88         2
11/26/2019          2.88         2
11/27/2019          2.88         2
11/28/2019          2.88         2
11/29/2019          2.86         2
11/30/2019          2.87         2
12/01/2019          2.86         2
12/02/2019          2.88         2
12/03/2019          2.88         2
12/04/2019          2.88         2
12/05/2019          2.88         2
12/06/2019          2.88         2
12/07/2019          2.88         2
12/08/2019          2.90         2
12/09/2019          2.89         2
12/10/2019          2.89         2
12/11/2019          2.89         2
12/12/2019          2.91         2
12/13/2019          2.93         2
12/14/2019          2.92         2
12/15/2019          2.92         2
12/16/2019          2.90         2
12/17/2019          2.90         2
12/18/2019          2.90         2
12/19/2019          2.91         2
12/20/2019          2.92         2
12/21/2019          2.92         2
12/22/2019          2.92         2
12/23/2019          2.92         2
12/24/2019          2.92         2
12/25/2019          2.91         2
12/26/2019          2.90         2
12/27/2019          2.90         2
12/28/2019          2.91         2
12/29/2019          2.90         2
12/30/2019          2.90         2
12/31/2019          2.91         2
01/01/2020          2.94         2
01/02/2020          2.94         2
01/03/2020          2.93         2
01/04/2020          2.93         2
01/05/2020          2.93         2
01/06/2020          2.94         2
01/07/2020          2.94         2
01/08/2020          2.96         2
01/09/2020          2.97         2
01/10/2020          2.97         2
01/11/2020          3.04         2
01/12/2020          3.05         2
01/13/2020          3.03         2
01/14/2020          3.03         2
01/15/2020          3.00         2
01/16/2020          3.00         2
01/17/2020          2.99         2
01/18/2020          2.98         2
01/19/2020          2.98         2
01/20/2020          2.98         2
01/21/2020          3.00         2
01/22/2020          3.02         2
01/23/2020          3.06         2
01/24/2020          3.12         2
01/25/2020          3.19         2
01/26/2020          3.24         2
01/27/2020          3.29         2
01/28/2020          3.32         2
01/29/2020          3.36         2
01/30/2020          3.39         2
01/31/2020          3.38         2
02/01/2020          3.43         2
02/02/2020          3.59         2
02/03/2020          3.55         2
02/04/2020          3.46         2
02/05/2020          3.44         2
02/06/2020          4.76         2
02/07/2020          7.57        77
02/08/2020          6.32         2
02/09/2020          5.19         2
02/10/2020          4.54         2
02/11/2020          4.15         3
02/12/2020          3.91         2
02/13/2020          3.74         2
02/14/2020          3.63         2
02/15/2020          3.55         2
02/16/2020          3.50         2
02/17/2020          3.42         2
02/18/2020          3.37         2
02/19/2020          3.32         2
02/20/2020          3.28         2
02/21/2020          3.25         2
02/22/2020          3.22         2
02/23/2020          3.23         2
02/24/2020          3.22         2
02/25/2020          3.18         2
02/26/2020          3.18         2
02/27/2020          3.17         2
02/28/2020          3.16         2
02/29/2020          3.20         2
03/01/2020          3.24         2
03/02/2020          3.25         2
03/03/2020          3.24         2
03/04/2020          3.24         2
03/05/2020          3.27         2
03/06/2020          3.31         2
03/07/2020          3.37         2
03/08/2020          3.37         2
03/09/2020          3.34         2
03/10/2020          3.30         3
03/11/2020          3.26         2
03/12/2020          3.26         2
03/13/2020          3.25         2
03/14/2020          3.26         2
03/15/2020          3.23         2
03/16/2020          3.21         2
03/17/2020          3.19         2
03/18/2020          3.19         2
03/19/2020          3.20         2
03/20/2020                     215
03/21/2020          3.27         2
03/22/2020          3.29         2
03/23/2020          3.32         2
03/24/2020          3.33         2
03/25/2020          3.33         2
03/26/2020          3.31         2
03/27/2020          3.29         2
03/28/2020          3.27         2
03/29/2020          3.27         2
03/30/2020          3.37         2
03/31/2020          3.48         2
04/01/2020          3.45         2
04/02/2020          3.43         2
04/03/2020          3.39         2
04/04/2020          3.37         2
04/05/2020          3.37         2
04/06/2020          3.35         2
04/07/2020          3.35         2
04/08/2020          3.36         2
04/09/2020          3.39         2
04/10/2020          3.46         2
04/11/2020          3.57         2
04/12/2020          3.64         2
04/13/2020          3.58         2
04/14/2020          3.51         2
04/15/2020          3.49         2
04/16/2020          3.48         2
04/17/2020          3.46         2
04/18/2020          3.48         2
04/19/2020          3.50         2
04/20/2020          3.54         2
04/21/2020          3.61         2
