To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

35B150--Tucannon R. nr Marengo

DATE         Water Temp. (°C)   QUALITY
----------   ----------------   -------
10/01/2016               13.3       140
10/02/2016               11.8       140
10/03/2016               11.7       140
10/04/2016                          255
10/05/2016               11.0       140
10/06/2016               11.4       140
10/07/2016               12.0       140
10/08/2016               12.9       140
10/09/2016               13.0       140
10/10/2016               11.9       140
10/11/2016                9.8       140
10/12/2016                9.2       140
10/13/2016               10.2       140
10/14/2016               11.3       140
10/15/2016               10.7       140
10/16/2016               10.9       140
10/17/2016               10.5       140
10/18/2016                9.9       140
10/19/2016                9.5       140
10/20/2016               10.8       140
10/21/2016               11.1       140
10/22/2016               10.5       140
10/23/2016               10.1       140
10/24/2016               11.1       140
10/25/2016               11.7       140
10/26/2016               12.0       140
10/27/2016               11.3       140
10/28/2016               10.2       140
10/29/2016                9.2       140
10/30/2016               10.3       140
10/31/2016               10.3       140
11/01/2016                9.8       140
11/02/2016                9.4       140
11/03/2016                9.9       140
11/04/2016                9.8       140
11/05/2016                9.4       140
11/06/2016                9.6       140
11/07/2016                9.3       140
11/08/2016                9.9       140
11/09/2016               10.3       140
11/10/2016                9.8       140
11/11/2016                9.0       140
11/12/2016               10.2       140
11/13/2016                9.7       140
11/14/2016               10.1       140
11/15/2016               10.1       140
11/16/2016                7.8       140
11/17/2016                6.9       140
11/18/2016                6.4       140
11/19/2016                7.5       140
11/20/2016                7.9       140
11/21/2016                7.9       140
11/22/2016                7.1       140
11/23/2016                7.2       140
11/24/2016                6.5       140
11/25/2016                7.4       140
11/26/2016                7.4       140
11/27/2016                6.8       140
11/28/2016                6.6       140
11/29/2016                6.3       140
11/30/2016                6.0       140
12/01/2016                5.7       140
12/02/2016                5.0       140
12/03/2016                6.4       140
12/04/2016                5.9       140
12/05/2016                4.1       140
12/06/2016                3.7       140
12/07/2016                2.3       140
12/08/2016                1.4       140
12/09/2016                2.2       140
12/10/2016                2.4       140
12/11/2016                4.1       140
12/12/2016                3.9       140
12/13/2016                3.6       140
12/14/2016                2.7       140
12/15/2016                1.6       140
12/16/2016                1.6       140
12/17/2016                0.1       140
12/18/2016                0.4       140
12/19/2016                2.4       140
12/20/2016                4.7       140
12/21/2016                3.5       140
12/22/2016                3.1       140
12/23/2016                4.4       140
12/24/2016                4.4       140
12/25/2016                3.5       140
12/26/2016                3.2       140
12/27/2016                3.9       140
12/28/2016                3.6       140
12/29/2016                3.9       140
12/30/2016                4.5       140
12/31/2016                2.9       140
01/01/2017                3.1       140
01/02/2017                2.6       140
01/03/2017                2.2       140
01/04/2017                0.6       140
01/05/2017                0.1       140
01/06/2017                0.1       140
01/07/2017                0.1       140
01/08/2017                0.5       140
01/09/2017                2.3       140
01/10/2017                2.7       140
01/11/2017                1.7       140
01/12/2017                0.1       140
01/13/2017                0.1       140
01/14/2017                0.1       140
01/15/2017                0.1       140
01/16/2017                0.1       140
01/17/2017                0.1       140
01/18/2017                1.2       140
01/19/2017                4.3       140
01/20/2017                4.5       140
01/21/2017                5.0       140
01/22/2017                4.8       140
01/23/2017                3.9       140
01/24/2017                4.2       140
01/25/2017                4.5       140
01/26/2017                4.5       140
01/27/2017                3.6       140
