To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

32B100--Touchet R. @ Bolles

DATE         TIME    WATER TEMP. (�C)   QUALITY
08/24/2003   00:00                 ""       255
08/25/2003   00:00                 ""       255
08/26/2003   00:00                 ""       255
08/27/2003   00:00                 ""       255
08/28/2003   00:00                 ""       255
08/29/2003   00:00                 ""       255
08/30/2003   00:00                 ""       255
08/31/2003   00:00                 ""       255
09/01/2003   00:00                 ""       255
09/02/2003   00:00                 ""       255
09/03/2003   00:00                 ""       255
09/04/2003   00:00                 ""       255
09/05/2003   00:00                 ""       255
09/06/2003   00:00                 ""       255
09/07/2003   00:00                 ""       255
09/08/2003   00:00                 ""       255
09/09/2003   00:00                 ""       255
09/10/2003   00:00                 ""       255
09/11/2003   00:00                 ""       255
09/12/2003   00:00                 ""       255
09/13/2003   00:00                 ""       255
09/14/2003   00:00                 ""       255
09/15/2003   00:00                 ""       255
09/16/2003   00:00                 ""       255
09/17/2003   00:00                 ""       255
09/18/2003   00:00                 ""       255
09/19/2003   00:00                 ""       255
09/20/2003   00:00                 ""       255
09/21/2003   00:00                 ""       255
09/22/2003   00:00                 ""       255
09/23/2003   00:00                 ""       255
09/24/2003   00:00                 ""       255
09/25/2003   00:00                 ""       255
09/26/2003   00:00                 ""       255
09/27/2003   00:00                 ""       255
09/28/2003   00:00                 ""       255
09/29/2003   00:00                 ""       255
09/30/2003   00:00                 ""       255

Quality Codes Key:
1 - Good quality REVIEWED data
82 - Linear interpolation across gap in records.
255 - No Data
