To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

32B100--Touchet R. @ Bolles

DATE         TIME    STAGE (ft.)   QUALITY
----------   -----   -----------   -------
10/01/2008   00:00          3.00         1
10/02/2008   00:00          3.00         1
10/03/2008   00:00          3.03         1
10/04/2008   00:00          3.06         1
10/05/2008   00:00          3.10         1
10/06/2008   00:00          3.08         1
10/07/2008   00:00          3.09         1
10/08/2008   00:00          3.10         1
10/09/2008   00:00          3.09         1
10/10/2008   00:00          3.09         1
10/11/2008   00:00          3.09         1
10/12/2008   00:00          3.09         1
10/13/2008   00:00          3.09         1
10/14/2008   00:00          3.09         1
10/15/2008   00:00          3.11         1
10/16/2008   00:00          3.10         1
10/17/2008   00:00          3.09         1
10/18/2008   00:00          3.08         1
10/19/2008   00:00          3.08         1
10/20/2008   00:00          3.08         1
10/21/2008   00:00          3.08         1
10/22/2008   00:00          3.08         1
10/23/2008   00:00          3.07         1
10/24/2008   00:00          3.07         1
10/25/2008   00:00          3.07         1
10/26/2008   00:00          3.06         1
10/27/2008   00:00          3.07         1
10/28/2008   00:00          3.06         1
10/29/2008   00:00          3.07         1
10/30/2008   00:00          3.07         1
10/31/2008   00:00          3.06         1
11/01/2008   00:00          3.07         1
11/02/2008   00:00          3.09         1
11/03/2008   00:00          3.14         1
11/04/2008   00:00          3.18         1
11/05/2008   00:00          3.26         1
11/06/2008   00:00          3.18         1
11/07/2008   00:00          3.18         1
11/08/2008   00:00          3.20         1
11/09/2008   00:00          3.19         1
11/10/2008   00:00          3.18         1
11/11/2008   00:00          3.19         1
11/12/2008   00:00          3.28         1
11/13/2008   00:00          3.84         1
11/14/2008   00:00          3.57         1
11/15/2008   00:00          3.41         1
11/16/2008   00:00          3.34         1
11/17/2008   00:00          3.29         1
11/18/2008   00:00          3.26         1
11/19/2008   00:00          3.23         1
11/20/2008   00:00          3.22         1
11/21/2008   00:00          3.23         1
11/22/2008   00:00          3.22         1
11/23/2008   00:00          3.21         1
11/24/2008   00:00          3.20         1
11/25/2008   00:00          3.19         1
11/26/2008   00:00          3.19         1
11/27/2008   00:00          3.18         1
11/28/2008   00:00          3.18         1
11/29/2008   00:00          3.19         1
11/30/2008   00:00          3.20         1
12/01/2008   00:00          3.19         1
12/02/2008   00:00          3.25         1
