To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

32B100--Touchet R. @ Bolles

DATE         Stage (ft.)   QUALITY
----------   -----------   -------
10/01/2011          2.55         1
10/02/2011          2.55         1
10/03/2011          2.56         1
10/04/2011          2.57         1
10/05/2011          2.62         1
10/06/2011          2.72         1
10/07/2011          2.70         1
10/08/2011          2.65         1
10/09/2011          2.63         1
10/10/2011          2.63         1
10/11/2011          2.74         1
10/12/2011          2.77         1
10/13/2011          2.67         1
10/14/2011          2.67         1
10/15/2011          2.67         1
10/16/2011          2.71         1
10/17/2011          2.71         1
10/18/2011          2.67         1
10/19/2011          2.66         1
10/20/2011          2.65         1
10/21/2011          2.65         1
10/22/2011          2.65         1
10/23/2011          2.65         1
10/24/2011          2.65         1
10/25/2011          2.65         1
10/26/2011          2.67         1
10/27/2011          2.66         1
10/28/2011          2.66         1
10/29/2011          2.67         1
10/30/2011          2.67         1
10/31/2011          2.75         1
11/01/2011          2.73         1
11/02/2011          2.70         1
11/03/2011          2.70         1
11/04/2011          2.74         1
11/05/2011          2.73         1
11/06/2011          2.71         1
11/07/2011          2.71         1
11/08/2011          2.71         1
11/09/2011          2.71         1
11/10/2011          2.71         1
11/11/2011          2.72         1
11/12/2011          2.78         1
11/13/2011          2.82         1
11/14/2011          2.79         1
11/15/2011          2.77         1
11/16/2011          2.75         1
11/17/2011          2.82         1
11/18/2011          2.87         1
11/19/2011          2.83         1
11/20/2011          2.79         1
11/21/2011          2.78         1
11/22/2011          2.83         1
11/23/2011          2.91         1
11/24/2011          2.93         1
11/25/2011          2.93         1
11/26/2011          2.88         1
11/27/2011          2.84         1
11/28/2011          2.85         1
11/29/2011          2.84         1
11/30/2011          2.84         1
12/01/2011          2.82         1
12/02/2011          2.80         1
12/03/2011          2.78         1
12/04/2011          2.78         1
12/05/2011          2.76         1
12/06/2011          2.75         1
12/07/2011          2.75         1
12/08/2011          2.74         1
12/09/2011          2.72         1
12/10/2011          2.72         1
12/11/2011          2.72         1
12/12/2011          2.72        82
12/13/2011          2.70         1
12/14/2011          2.71         1
12/15/2011          2.72         1
