To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

32B100--Touchet R. @ Bolles

DATE         Stage (ft.)   QUALITY
05/22/2021          3.72         1
05/23/2021          3.70         1
05/24/2021          3.67         1
05/25/2021          3.67         1
05/26/2021          3.70         1
05/27/2021          3.65         1
05/28/2021          3.65         1
05/29/2021          3.62         1
05/30/2021          3.59         1
05/31/2021          3.57         1
06/01/2021          3.55         1
06/02/2021          3.54         1
06/03/2021          3.53         1
06/04/2021          3.51         1
06/05/2021          3.49         1
06/06/2021          3.49         1
06/07/2021          3.49         1
06/08/2021          3.47         1
06/09/2021          3.44         1
06/10/2021          3.43         1
06/11/2021          3.41         1
06/12/2021          3.42         1
06/13/2021          3.39         1
06/14/2021          3.36         1
06/15/2021          3.44         1
06/16/2021          3.46         1
06/17/2021          3.39         1
06/18/2021          3.35         1
06/19/2021          3.32         1
06/20/2021          3.31         1
06/21/2021          3.29         1
06/22/2021          3.26         1
06/23/2021          3.24         1
06/24/2021          3.23         1
06/25/2021          3.22         1
06/26/2021          3.21         1
06/27/2021          3.20         1
06/28/2021          3.17         1
06/29/2021          3.15         1
06/30/2021          3.15         1
07/01/2021          3.14         1
07/02/2021          3.14         1
07/03/2021          3.14         1
07/04/2021          3.13         1
07/05/2021          3.12         1
07/06/2021          3.09         1
07/07/2021          3.09         1
07/08/2021          3.09         1
07/09/2021          3.10         1
07/10/2021          3.10         1
07/11/2021          3.10         1
07/12/2021          3.10         1
07/13/2021          3.09         1
07/14/2021          3.09         1
07/15/2021          3.07         1
07/16/2021          3.07         1
07/17/2021          3.07         1
07/18/2021          3.07         1
07/19/2021          3.08         1
07/20/2021          3.08         1
07/21/2021          3.08         1
07/22/2021          3.08         1
07/23/2021          3.09         1
07/24/2021          3.07         1
07/25/2021          3.05         1
07/26/2021          3.06         1
07/27/2021          3.08         1
07/28/2021          3.09         1
07/29/2021          3.06         1
07/30/2021          3.05         1
07/31/2021          3.04         1
08/01/2021          3.07         1
08/02/2021          3.13         1
08/03/2021          3.08         1
08/04/2021          3.05         1
08/05/2021          3.06         1
08/06/2021          3.09         1
08/07/2021          3.08         1
08/08/2021          3.08         1
08/09/2021          3.10         1
08/10/2021          3.08         1
08/11/2021          3.06         1
08/12/2021          3.05         1
08/13/2021          3.04         1
08/14/2021          3.06         1
08/15/2021          3.06         1
08/16/2021          3.05         1
08/17/2021          3.04         1
08/18/2021          3.07         1
08/19/2021          3.09         1
08/20/2021          3.09         1
08/21/2021          3.14         1
08/22/2021          3.17         1
08/23/2021          3.13         1
08/24/2021          3.13         1
08/25/2021          3.11         1
08/26/2021          3.11         1
08/27/2021          3.10         1
08/28/2021          3.11         1
08/29/2021          3.10         1
08/30/2021          3.08         1
08/31/2021          3.07         1
09/01/2021          3.10         1
09/02/2021          3.10         1
09/03/2021          3.08         1
09/04/2021          3.08         1
09/05/2021          3.08         1
09/06/2021          3.07         1
09/07/2021          3.07         1
09/08/2021          3.06         1
09/09/2021          3.07         1
09/10/2021          3.10         1
09/11/2021          3.16         1
09/12/2021          3.14         1
09/13/2021          3.13         1
09/14/2021          3.13         1
09/15/2021          3.12         1
09/16/2021          3.12         1
09/17/2021          3.13         1
09/18/2021          3.15         1
09/19/2021          3.24         1
09/20/2021          3.22         1
09/21/2021          3.17         1
09/22/2021          3.15         1
09/23/2021          3.14         1
09/24/2021          3.15         1
09/25/2021          3.14         1
09/26/2021          3.14         1
09/27/2021          3.16         1
09/28/2021          3.25         1
09/29/2021          3.23         1
09/30/2021          3.21         1
10/01/2021          3.19         1

Quality Codes Key:
1 - Good quality REVIEWED data
50 - Estimated data
77 - Estimated from another station, same variable
