To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

32B100--Touchet R. @ Bolles

DATE         Stage (ft.)   QUALITY
----------   -----------   -------
10/01/2017          2.73         1
10/02/2017          2.76         1
10/03/2017          2.76         1
10/04/2017          2.76         1
10/05/2017          2.75         1
10/06/2017          2.75         1
10/07/2017          2.74         1
10/08/2017          2.76         1
10/09/2017          2.77         1
10/10/2017          2.76         1
10/11/2017          2.76         1
10/12/2017          2.79         1
10/13/2017          2.88         1
10/14/2017          2.86         1
10/15/2017          2.82         1
10/16/2017          2.81         1
10/17/2017          2.80         1
10/18/2017          2.82         1
10/19/2017          2.84         1
10/20/2017          2.90         1
10/21/2017          2.92         1
10/22/2017          3.14         1
10/23/2017          3.16         1
10/24/2017          2.99         1
10/25/2017          2.93         1
10/26/2017          2.90         1
10/27/2017          2.88         1
10/28/2017          2.87         1
10/29/2017          2.86         1
10/30/2017          2.86         1
10/31/2017          2.86         1
11/01/2017          2.86         1
11/02/2017          2.87         1
11/03/2017          2.93         1
11/04/2017          2.93         1
11/05/2017          2.94         1
11/06/2017          2.98         1
11/07/2017          2.94         1
11/08/2017          2.93         1
11/09/2017          2.97         1
11/10/2017          3.04         1
11/11/2017          3.06         1
11/12/2017          3.04         1
11/13/2017          3.04         1
11/14/2017          3.09         1
11/15/2017          3.05         1
11/16/2017          3.10         1
11/17/2017          3.08         1
11/18/2017          3.05         1
11/19/2017          3.03         1
11/20/2017          3.09         1
11/21/2017          3.32         1
11/22/2017          3.47         1
11/23/2017          3.59         1
11/24/2017          4.05         1
11/25/2017          3.77         1
11/26/2017          3.60         1
11/27/2017          3.62         1
11/28/2017          3.53         1
11/29/2017          3.53         1
11/30/2017          3.45         1
12/01/2017          3.39         1
12/02/2017          3.33         1
12/03/2017          3.33         1
12/04/2017          3.29         1
12/05/2017          3.24         1
12/06/2017          3.21         1
12/07/2017          3.18         1
12/08/2017          3.15         1
12/09/2017          3.13         1
12/10/2017          3.10         1
12/11/2017          3.08         1
12/12/2017          3.06         1
12/13/2017          3.05         1
12/14/2017          3.03         1
12/15/2017          3.03         1
12/16/2017          3.03         1
12/17/2017          3.02         1
12/18/2017          3.04         1
12/19/2017          3.33         1
12/20/2017          3.72         1
12/21/2017          3.64         1
12/22/2017          3.56         1
12/23/2017          3.48         1
12/24/2017          3.38         1
12/25/2017          3.36         1
12/26/2017          3.31         1
12/27/2017          3.27         1
12/28/2017          3.27         1
12/29/2017          5.97         1
12/30/2017          7.36         1
12/31/2017          5.55         1
01/01/2018          4.83         1
01/02/2018          4.44         1
01/03/2018          4.21         1
01/04/2018          4.04         1
01/05/2018          3.93         1
01/06/2018          3.93         1
01/07/2018          3.87         1
01/08/2018          3.85         1
01/09/2018          4.00         1
01/10/2018          4.66         1
01/11/2018          4.92         1
01/12/2018          6.56         1
01/13/2018          5.80         1
01/14/2018          5.19         1
01/15/2018          4.89         1
01/16/2018          4.70         1
01/17/2018          4.54         1
01/18/2018          4.66         1
01/19/2018          4.88         1
01/20/2018          4.73         1
01/21/2018          4.55         1
01/22/2018          4.41         1
01/23/2018          4.29         1
01/24/2018          4.48         1
01/25/2018          4.60         1
01/26/2018          4.51         1
01/27/2018          4.41         1
01/28/2018          4.47         1
01/29/2018          4.54         1
01/30/2018          4.61         1
01/31/2018          4.53         1
02/01/2018          4.39         1
02/02/2018          4.93         1
02/03/2018          5.34         1
02/04/2018          5.60         1
02/05/2018          5.90         1
02/06/2018          5.35         1
02/07/2018          4.89         1
02/08/2018          4.67         1
02/09/2018          4.49         1
02/10/2018          4.34         1
02/11/2018          4.22         1
02/12/2018          4.11         1
02/13/2018          4.00         1
02/14/2018          3.98         1
02/15/2018          3.91         1
02/16/2018          3.85         1
02/17/2018          3.98         1
02/18/2018          4.35         1
02/19/2018          4.22         1
02/20/2018          4.08         1
02/21/2018          4.03         1
02/22/2018          3.95         1
02/23/2018          3.88         1
02/24/2018          3.85         1
02/25/2018          3.83         1
02/26/2018          3.80         1
02/27/2018          3.74         1
02/28/2018          3.71         1
03/01/2018          3.73         1
03/02/2018          3.77         1
03/03/2018          3.74         1
03/04/2018          3.73         1
03/05/2018          3.71         1
03/06/2018          3.70         1
03/07/2018          3.70         1
03/08/2018          3.76         1
03/09/2018          4.25         1
03/10/2018          4.32         1
03/11/2018          4.25         1
03/12/2018          4.24         1
03/13/2018          4.33         1
03/14/2018          4.80         1
03/15/2018          4.80         1
