To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

32B100--Touchet R. @ Bolles

DATE         Stage (ft.)   QUALITY
----------   -----------   -------
10/01/2015          2.15         1
10/02/2015          2.14         1
10/03/2015          2.16         1
10/04/2015          2.17         1
10/05/2015          2.17         1
10/06/2015          2.18         1
10/07/2015          2.18         1
10/08/2015          2.21         1
10/09/2015          2.21         1
10/10/2015          2.19         1
10/11/2015          2.21         1
10/12/2015          2.21         1
10/13/2015          2.19         1
10/14/2015          2.19         1
10/15/2015          2.20         1
10/16/2015          2.20         1
10/17/2015          2.21         1
10/18/2015          2.21         1
10/19/2015          2.22         1
10/20/2015          2.21         1
10/21/2015          2.21         1
10/22/2015          2.21         1
10/23/2015          2.22         1
10/24/2015          2.23         1
10/25/2015          2.23         1
10/26/2015          2.23         1
10/27/2015          2.24         1
10/28/2015          2.25         1
10/29/2015          2.27         1
10/30/2015          2.26         1
10/31/2015          2.36         1
11/01/2015          2.65         1
11/02/2015          2.45         1
11/03/2015          2.36         1
11/04/2015          2.35         1
11/05/2015          2.33         1
11/06/2015          2.36         1
11/07/2015          2.34         1
11/08/2015          2.33         1
11/09/2015          2.40         1
11/10/2015          2.42         1
11/11/2015          2.38         1
11/12/2015          2.38         1
11/13/2015          2.37         1
11/14/2015          2.41         1
11/15/2015          2.38         1
11/16/2015          2.36         1
11/17/2015          2.37         1
11/18/2015          2.51         1
11/19/2015          2.48         1
11/20/2015          2.45         1
11/21/2015          2.42         1
11/22/2015          2.40         1
11/23/2015          2.38         1
11/24/2015          2.39         1
11/25/2015          2.38         1
11/26/2015          2.36         1
11/27/2015          2.34         1
11/28/2015          2.33         1
11/29/2015          2.33         1
11/30/2015          2.32         1
12/01/2015          2.32         1
12/02/2015          2.34         1
12/03/2015          2.34         1
12/04/2015          2.38         1
12/05/2015          2.41         1
12/06/2015          2.41         1
12/07/2015          2.77         1
12/08/2015          3.51         1
12/09/2015          3.43         1
12/10/2015          3.48         1
12/11/2015          3.28         1
12/12/2015          3.11         1
12/13/2015          3.13         1
12/14/2015          3.07         1
12/15/2015          2.97         1
12/16/2015          2.89         1
12/17/2015          2.82         1
12/18/2015          2.89         1
12/19/2015          3.14         1
12/20/2015          3.09         1
12/21/2015          3.03         1
12/22/2015          3.13         1
12/23/2015          3.06         1
12/24/2015          2.98         1
12/25/2015          2.89         1
12/26/2015          2.82         1
12/27/2015          2.76         1
12/28/2015          2.73         1
12/29/2015          2.70         1
12/30/2015          2.66         1
12/31/2015          2.61         1
01/01/2016          2.56         1
01/02/2016          2.55         1
01/03/2016                     250
01/04/2016                     250
01/05/2016          2.56        50
01/06/2016          2.57        50
01/07/2016          2.62        50
01/08/2016          2.67        50
01/09/2016          2.69        50
01/10/2016          2.68        50
01/11/2016          2.66        50
01/12/2016          2.65        50
01/13/2016          2.81        50
01/14/2016          3.41        50
01/15/2016          3.29        50
01/16/2016          3.18        50
01/17/2016          3.27        50
01/18/2016          3.57        50
01/19/2016          3.59        50
01/20/2016          3.82        50
01/21/2016          3.77         1
01/22/2016          3.79         1
01/23/2016          3.81         1
01/24/2016          3.98         1
01/25/2016          3.78         1
01/26/2016          3.53         1
01/27/2016          3.35         1
01/28/2016          3.41         1
01/29/2016          4.26         1
01/30/2016          4.14         1
01/31/2016          3.84         1
02/01/2016          3.60         1
02/02/2016          3.41         1
02/03/2016          3.25         1
02/04/2016          3.19         1
02/05/2016          3.14         1
02/06/2016          3.11         1
02/07/2016          3.07         1
02/08/2016          3.02         1
02/09/2016          2.99         1
02/10/2016          3.03         1
02/11/2016          3.08         1
02/12/2016          3.22         1
02/13/2016          3.45         1
02/14/2016          3.63         1
02/15/2016          4.11         1
02/16/2016          4.17         1
02/17/2016          3.98         1
02/18/2016          4.02         1
02/19/2016          4.11         1
02/20/2016          4.03         1
02/21/2016          3.84         1
02/22/2016          3.66         1
02/23/2016          3.50         1
02/24/2016          3.36         1
02/25/2016          3.25         1
02/26/2016          3.17         1
02/27/2016          3.18         1
02/28/2016          3.32         1
02/29/2016          3.31         1
03/01/2016          3.27         1
03/02/2016          3.31         1
03/03/2016          3.29         1
03/04/2016          3.26         1
