To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

32B100--Touchet R. @ Bolles

DATE         Stage (ft.)   QUALITY
----------   -----------   -------
10/01/2012          2.40         1
10/02/2012          2.39         1
10/03/2012          2.40         1
10/04/2012          2.42         1
10/05/2012          2.42         1
10/06/2012          2.43         1
10/07/2012          2.43         1
10/08/2012          2.43         1
10/09/2012          2.44         1
10/10/2012          2.44         1
10/11/2012          2.44         1
10/12/2012          2.45         1
10/13/2012          2.49         1
10/14/2012          2.48         1
10/15/2012          2.52         1
10/16/2012          2.71         1
10/17/2012          2.65         1
10/18/2012          2.54         1
10/19/2012          2.52         1
10/20/2012          2.63         1
10/21/2012          2.64         1
10/22/2012          2.58         1
10/23/2012          2.57         1
10/24/2012          2.55         1
10/25/2012          2.55         1
10/26/2012          2.57         1
10/27/2012          2.58         1
10/28/2012          2.76         1
10/29/2012          3.19         1
10/30/2012          3.09         1
10/31/2012          2.87         1
11/01/2012          2.78         1
11/02/2012          2.80         1
11/03/2012          2.76         1
11/04/2012          2.74         1
11/05/2012          2.71         1
11/06/2012          2.69         1
11/07/2012          2.72         1
11/08/2012          2.71         1
11/09/2012          2.70         1
11/10/2012          2.69         1
11/11/2012          2.68         1
11/12/2012          2.70         1
11/13/2012          2.76         1
11/14/2012          2.79         1
11/15/2012          2.81         1
11/16/2012          2.80         1
11/17/2012          2.79         1
11/18/2012          2.82         1
11/19/2012          2.85         1
11/20/2012          3.20         1
11/21/2012          3.61         1
11/22/2012          3.48         1
11/23/2012          3.29         1
11/24/2012          3.46         1
11/25/2012          3.55         1
11/26/2012          3.40         1
11/27/2012          3.26         1
11/28/2012          3.16         1
11/29/2012          3.08         1
11/30/2012          3.09         1
12/01/2012          3.12         1
12/02/2012          4.11         1
12/03/2012          4.39         1
12/04/2012          4.04         1
12/05/2012          4.24         1
12/06/2012          4.17         1
12/07/2012          3.96         1
12/08/2012          3.79         1
12/09/2012          3.62         1
12/10/2012          3.54         1
12/11/2012          3.53         1
12/12/2012          3.54         1
12/13/2012          3.47         1
12/14/2012          3.40         1
12/15/2012          3.33         1
12/16/2012          3.29         1
12/17/2012          3.29         1
12/18/2012          3.25         1
12/19/2012          3.20         1
12/20/2012          3.16         1
12/21/2012          3.12         1
12/22/2012          3.08         1
12/23/2012          3.06         1
12/24/2012          3.11         1
12/25/2012          3.05         1
12/26/2012          3.03         1
12/27/2012          3.01         1
12/28/2012          2.99         1
12/29/2012          2.97         1
12/30/2012          2.95         1
12/31/2012          2.93         1
01/01/2013          2.92         1
01/02/2013          2.89         1
01/03/2013          2.86         1
01/04/2013          2.89         1
01/05/2013          2.88         1
01/06/2013          2.87         1
01/07/2013          3.00         1
01/08/2013          3.54         1
01/09/2013          4.23         1
01/10/2013          4.31         1
01/11/2013          3.95         1
